entryURN,image
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.22,"urn:cite:bnf:coislin345img.Coislin345_img45@0.4725,0.1796,0.1802,0.0243"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.23,"urn:cite:bnf:coislin345img.Coislin345_img45@0.6937,0.1824,0.2212,0.0451"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.24,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2112,0.1886,0.3113,0.0312"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.25,"urn:cite:bnf:coislin345img.Coislin345_img45@0.1922,0.1997,0.7217,0.0687"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.26,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2162,0.2434,0.3614,0.034"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.27,"urn:cite:bnf:coislin345img.Coislin345_img45@0.6146,0.2566,0.2763,0.0291"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.28,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2212,0.2642,0.6877,0.0576"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.29,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2262,0.2871,0.2402,0.0305"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.30,"urn:cite:bnf:coislin345img.Coislin345_img45@0.4765,0.2933,0.2603,0.0277"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.31,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2162,0.3044,0.3243,0.0284"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.32,"urn:cite:bnf:coislin345img.Coislin345_img45@0.5566,0.3162,0.3524,0.0416"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.33,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2212,0.3218,0.2492,0.0298"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.34,"urn:cite:bnf:coislin345img.Coislin345_img45@0.5005,0.3329,0.2462,0.0305"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.35,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2242,0.346,0.2953,0.0326"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.36,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2633,0.3523,0.6476,0.0409"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.37,"urn:cite:bnf:coislin345img.Coislin345_img45@0.5395,0.3731,0.3093,0.025"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.38,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2042,0.3807,0.3544,0.0312"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.39,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2593,0.3911,0.6456,0.0444"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.40,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2182,0.423,0.4725,0.0368"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.41,"urn:cite:bnf:coislin345img.Coislin345_img45@0.6907,0.4279,0.2082,0.0506"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.42,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2222,0.4417,0.1882,0.0257"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.43,"urn:cite:bnf:coislin345img.Coislin345_img45@0.4244,0.4452,0.4204,0.0416"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.44,"urn:cite:bnf:coislin345img.Coislin345_img45@0.1732,0.4473,0.1912,0.0333"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.45,"urn:cite:bnf:coislin345img.Coislin345_img45@0.3884,0.4653,0.2903,0.0243"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.46,"urn:cite:bnf:coislin345img.Coislin345_img45@0.1782,0.4674,0.7127,0.061"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.47,"urn:cite:bnf:coislin345img.Coislin345_img45@0.6587,0.5076,0.2152,0.027"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.48,"urn:cite:bnf:coislin345img.Coislin345_img45@0.1852,0.5035,0.1812,0.0374"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.49,"urn:cite:bnf:coislin345img.Coislin345_img45@0.4054,0.5222,0.2162,0.0229"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.50,"urn:cite:bnf:coislin345img.Coislin345_img45@0.6346,0.5277,0.2663,0.0229"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.51,"urn:cite:bnf:coislin345img.Coislin345_img45@0.1942,0.5312,0.3153,0.0361"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.52,"urn:cite:bnf:coislin345img.Coislin345_img45@0.5245,0.5437,0.2873,0.0277"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.53,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2112,0.5569,0.6817,0.0416"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.54,"urn:cite:bnf:coislin345img.Coislin345_img45@0.5045,0.5791,0.3744,0.0298"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.55,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2162,0.5971,0.2042,0.0222"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.56,"urn:cite:bnf:coislin345img.Coislin345_img45@0.4264,0.5992,0.3864,0.0284"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.57,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2052,0.6144,0.2312,0.0222"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.58,"urn:cite:bnf:coislin345img.Coislin345_img45@0.4334,0.62,0.2753,0.0257"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.59,"urn:cite:bnf:coislin345img.Coislin345_img45@0.7127,0.6227,0.1902,0.0347"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.60,"urn:cite:bnf:coislin345img.Coislin345_img45@0.1962,0.6311,0.4685,0.0298"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.61,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2122,0.6519,0.5866,0.0305"
