Batrach,paraphrase,line
εἶδεν,ἐθεάσατο,252
εἶδον,ἐθεάσαντο,141
εἷλε,κατείληφεν,208
εἵνεκ,χάριν,2
εἰπεῖν,φάναι,140
εἰπεῖν,ἔφη,146
εἰπὼν,εἰπὼν,99
εἰπών,εἰπὼν,122
εἰπών,εἰπὼν,144
εἰπών,εἰπὼν,160
εἰσαφίκηαι,ἀφίκηι,64
εἰσελθών,εἰσδύς,145
ἦλθον,κατῆλθον,198α
ἔκδικον,τιμωρητικὸν,97
ἐκοπώθην,τεταλαιπώρηκα,189
ἐλθεῖν,ἀφικέσθαι,2
ἔλθῃ,παραγένοιτο,156
ἔλθοι,παραγένοιτο,195
ἐλθοίμην,παραγενοίμην,179
ἐλθόντες,συνελθόντες,134
ἐλέλιξεν,συνετάραξεν,286
ἔλπετο,ἤλπιζεν,291
ἔμμεναι,εἶναι,23
ἔμπλετο,ἐπληροῦτο,167
ἔνησα,ἔκλωσα,186
ἐννεμέθεσθαι,βρωσίμοις,30
ἔνοπλοι,καθωπλισμένοι,132
ἐξαίφνης,αἰφνιδίως,294
ἐξανέδυσαν,ἀνέβησαν,133
ἐξαπίνης,αἰφνιδίως,82
ἐξέλθωσι,ἐφορμήσαντες,155
ἐξενάριξεν,ἀπέκτεινεν,223
ἐξετέλεσσεν,ἐτελείωσεν,268
ἐξετύφλου,ἐξετύφλωσεν,238
ἐξολέσωμεν,ἀφανίσωμεν,151
ἔξοχος,διαφέρων,260
ἐπαρωγός,βοηθός,179
ἐπεκλύζετο,κατεβρέχετο,69
ἐπεπείθοντ',ἐπείσθησαν,197
ἐπεύχομαι,εὔχομαι,2
ἐπιβόσκομαι,ἐν...βόσκομαι,54
ἐπινώτιον,ἐπὶ τῶν νώτων,80
ἐπισταμένως,ἐντέχνως καὶ συνετῶς,128
ἐπνίγη,ἐπνίγη,148
ἔπος,λόγον,12
ἔργον,ἔργον,4
ἔργον,ἔργον,130
ἔργα,πράξεις,7
ἐρέεινε,ἤρετο,172
ἐρέω,λέξω,152
ἔρριψας,ἔρριψας,97
ἔρχεται,πορεύεται,171
