Homeric,Paraphrase,Example
δούπησεν,ἐκτύπησε,15.524
δούπησεν,ἐψόφησε,15.578
δεδουπότος,,23.679
δόχμιά,,23.116
δῷσι,παράσχοι,1.129
ἔειπεν,εἶπεν,15.13
ἕκαστοι,ἕκαστοι,24.1
ἔπεα πτερόεντα προσηύδα, λόγους ἐπτερωμένους εἶπε,15.35
ἔπεα πτερόεντα προσηύδα,λόγους ταχεῖς εἶπεν, "15.48,15.145,15.157"
ἔπεα πτερόεντα προσηύδα,λόγους ταχεῖς καὶ ἐπτερωμένους εἶπε,15.89
ἐπί,ἐπί,24.1
ἔγχεϊ μακρῷ,ὁξεῖ σιδήρῳ,15.745
ἔγχεϊ ὀξυόεντι,ὀζεῖ δόρατι,15.742
ἐγχρίμψας,,23.334
εἶβεν,κατέσταζε,24.9
ἐεισάσθην,ὥρμησαν,15.544
ἐείσατο,ἐφάνη,15.415
εἴδεται,φαίνεται,1.228
εἴδεται,φαίνεται,8.559 
εἴδεται,φαίνεται,24.197
εἴδονθ',εὐνοήσαν,8.251
εἰδῇ,εἰδῇ,15.207
εἰδῇ,ἐστὶ,15.412
ἐΐκτην,ὡμοιώθησαν,1.104
εἰρύαται,φυλάττουσιν,1.293
ἐοικότες,ὅμοιοι,15.592
ἐοικώς,παραπλήσιος,1.47
ἐοικὼς,ὅμοιος,15.237
ἐοικώς,ὅμοιος,15.586
ἐοικὼς,παραπλήσιος,24.347
ἑῆος,n/a σου?,1.393
ἑῆος,ἰδίου,15.138
ἑῆος,ἀγαθοῦ σου,24.422
ἑῆος,ἀγαθοῦ,24.550
ἐῢν,πραὺν,8.303
ἠΰ,ἀγαθὴν,24.6
ἠΰ,ἀγαθὴν,24.442
ἐερσήεις,κάθυγρος καὶ νεαρὸς,24.419
ἑρσήεις,δροσώδης καὶ ἄφθορος,24.757
εἰρημένος,λελεγμένος,8.524
εἰρύατο,εἱλκυσομαι,15.654
εἴρυσαν,εἴλκϋσαν,8.226
εἰρύσσαιτο,κατάσχοι,8.143
εἰρύσσασθαι,φυλάξαι,1.216
εἰρύατο,,15.654
εἴρυσαν,εἴλκϋσαν,8.226
εἰρύσατ᾽,ἐρρύσατο,15.274
εἰρύσσαιτο,κατάσχοι,8.143
εἰρύσσασθαι,φυλάξαι,1.216
εἴρυτο,παρέλϋσεν,24.499
εἰσωποὶ,ὑπὸ δὲ τὴν στέγην,15.653
ἔοργε,εἰργάσατο,8.356
ἑοῦ,αὐτῆς,1.496
ἑοῦ,ἰδίου,8.44
ἑοῦ,εὐξέστου?,24.322
ἑοῦ,αὐτοῦ,24.416
ἐπασσύτεροι,ἐπάλληλοι,1.383
ἐπασσυτέρους,ἀλλεπαλλήλους,8.277
ἐπαυρεῖν,ἐφαψασθαι,15.316
ἐπαυρεῖν,,23.240
ἐπαύρηαι,ἀπολαύσεις,15.17
ἐπαύρωνται,ἀπολαύσωσι,1.410
ἐπιβλής,μοχλὸς,24.453
ἐπίηρα,ἐπέραστα,1.572
ἐπίηρα,ἐπέραστα,1.577
ἐπιστεφέας,πλήρεις,8.232 
ἕρδειν,πράττειν,15.148
ἕρδον,ἔθυον,1.315
εἴρεαι,πϋνθάνη,15.247
εἴρεαι,ἐρωτᾶς,24.390
ἐρέουσα,λέξουσα,1.419
ἐρέω,φράσω,1.76
ἐρέω,ἐρῶ,1.204
ἐρέω,ἐρῶ,1.233
ἐρέω,ἐρῶ,1.297
ἐρέω,ἐρῶ,15.212
ἐρέω,ἐρῶ,24.106 
ἔριδι,φιλονεικίᾳ,1.8
ἔριδος,φιλονεικίας,1.210
ἔριδος,φιλονεικίας,1.319
ἔρις,φιλονεικία,1.177
ἕρματα,ὑποστηρίγματα,1.486
ἐρύοντι,ἕλκοντι,15.464
ἐρύουσι,ἑλκύσουσι,15.351
ἐρύσαιμ᾽,ἕλκύσαιμϊ,8.24
ἐρύσαιτ᾽,ἑλκΰση,8.21
ἐρύσαιτο,κατάσχη,24.584
ἐρύσαντό,εἵλκυσαν,1.466
